Kode,nama_produk,product_type,is_rtl,is_main_output,is_by_product,is_packaging,n_input,n_output
100274,Oxtail HGH,BY_PRODUCT,False,False,True,False,0,3
100275,Shank HGH,RAW_MATERIAL,False,False,False,False,2,7
100276,Tulang Kipas,BY_PRODUCT,False,False,True,False,2,3
100277,Leg Bone HGH,BY_PRODUCT,False,False,True,False,4,4
100278,Neckbone HGH,BY_PRODUCT,False,False,True,False,1,3
100279,Limpa HGH,BY_PRODUCT,False,False,True,False,1,2
100280,Tongue Root HGH,RAW_MATERIAL,False,False,False,False,0,3
100281,Blade HGH,RAW_MATERIAL,False,False,False,False,3,3
100282,Kaki HGH,BY_PRODUCT,False,False,True,False,0,3
100283,Hati HGH,BY_PRODUCT,False,False,True,False,0,3
100284,Knuckle HGH,RAW_MATERIAL,False,False,False,False,2,3
100285,Topside HGH,RAW_MATERIAL,False,False,False,False,3,3
100286,Outside HGH,RAW_MATERIAL,False,False,False,False,0,17
100287,Chucktender HGH,RAW_MATERIAL,False,False,False,False,1,3
100288,95 CL HGH,RAW_MATERIAL,False,False,False,False,0,3
100289,Shortrib HGH,RAW_MATERIAL,False,False,False,False,0,3
100290,Back Bone HGH,BY_PRODUCT,False,False,True,False,35,19
100291,Usus HGH,BY_PRODUCT,False,False,True,False,0,3
100292,Babat Tebal,BY_PRODUCT,False,False,True,False,0,3
100293,Babat Tipis,BY_PRODUCT,False,False,True,False,0,2
100294,Paru HGH,BY_PRODUCT,False,False,True,False,0,2
100295,Jantung HGH,BY_PRODUCT,False,False,True,False,0,3
100296,Ginjal HGH,BY_PRODUCT,False,False,True,False,0,3
100297,Chuck HGH,RAW_MATERIAL,False,False,False,False,1,3
100298,Tenderloin HGH,RAW_MATERIAL,False,False,False,False,1,35
100299,Rump HGH,RAW_MATERIAL,False,False,False,False,3,3
100301,Brisket HGH,RAW_MATERIAL,False,False,False,False,0,3
100302,Tulang Sirloin HGH,BY_PRODUCT,False,False,True,False,0,4
100304,Tulang Bokong,BY_PRODUCT,False,False,True,False,2,3
100305,Urat HGH,BY_PRODUCT,False,False,True,False,0,3
100320,Paru O'Connor,RAW_MATERIAL,False,False,False,False,1,0
100321,Kepala Sapi HGH,BY_PRODUCT,False,False,True,False,0,4
100322,Kulit Sapi HGH,BY_PRODUCT,False,False,True,False,0,3
100333,85 CL QBP,RAW_MATERIAL,False,False,False,False,1,0
100334,Backrib ECT,RAW_MATERIAL,False,False,False,False,13,0
100394,IND - B 41 Topside Amber,RAW_MATERIAL,False,False,False,False,1,0
100402,IND - B 31 Tenderloin Amber,RAW_MATERIAL,False,False,False,False,3,0
100404,Shortrib B ECT,RAW_MATERIAL,False,False,False,False,1,1
100430,Fat MK Teys EST 294,RAW_MATERIAL,False,False,False,False,1,0
100445,Backrib Midfield,RAW_MATERIAL,False,False,False,False,0,1
100469,Brisketbone Alliance ME21,RAW_MATERIAL,False,False,False,False,1,1
100482,IND - B 31 Tenderloin Rustam,RAW_MATERIAL,False,False,False,False,2,1
100488,Brisketbone Meramist,RAW_MATERIAL,False,False,False,False,1,0
100493,Brisketbone Kilcoy,RAW_MATERIAL,False,False,False,False,11,0
100501,IND - B 18 FQ 95 CL BP Al-Aali,RAW_MATERIAL,False,False,False,False,73,0
100508,IND - B 42 Knuckle Al-Aali,RAW_MATERIAL,False,False,False,False,2,0
100509,IND - B 44 Outside Al-Aali,RAW_MATERIAL,False,False,False,False,5,0
100511,IND - B 46 Striploin Al-Aali,RAW_MATERIAL,False,False,False,False,1,0
100562,Paru Carnemax,RAW_MATERIAL,False,False,False,False,1,0
100584,IND - B 67 Cuberoll IAF,RAW_MATERIAL,False,False,False,False,1,0
100585,IND - B 31 Tenderloin IAF,RAW_MATERIAL,False,False,False,False,1,0
100586,IND - B 41 Topside IAF,RAW_MATERIAL,False,False,False,False,0,1
100592,IND - B 18 FQ 95 CL BP IAF,RAW_MATERIAL,False,False,False,False,13,1
100596,Paru Kilcoy,RAW_MATERIAL,False,False,False,False,30,0
100609,Serbuk Tulang HGH,RAW_MATERIAL,False,False,False,False,0,1
100613,Neckbone A AMG,RAW_MATERIAL,False,False,False,False,0,1
100618,BRZ - Knuckle Minerva,RAW_MATERIAL,False,False,False,False,0,1
100621,IND - B 11 FQ Slice ALM,RAW_MATERIAL,False,False,False,False,1,0
100630,BRZ - Chucktender Minerva,RAW_MATERIAL,False,False,False,False,1,0
100652,Fat Cassino,RAW_MATERIAL,False,False,False,False,1,0
100671,Shortplate IBP,RAW_MATERIAL,False,False,False,False,24,0
100682,BRZ - Blade Friboi,RAW_MATERIAL,False,False,False,False,1,1
100683,BRZ - Outside Flat Friboi,RAW_MATERIAL,False,False,False,False,1,0
100689,Urat Ligamentum Swift 262,RAW_MATERIAL,False,False,False,False,0,1
100720,IND - B 44 Outside Al-Dua,RAW_MATERIAL,False,False,False,False,84,0
100722,IND - B 41 Topside Al-Dua,RAW_MATERIAL,False,False,False,False,1,0
100727,IND - B 18 FQ 95 CL BP Al-Dua,RAW_MATERIAL,False,False,False,False,16,0
100744,BRZ - Shin Minerva,RAW_MATERIAL,False,False,False,False,18,0
100766,BRZ - Brisket PE Friboi,RAW_MATERIAL,False,False,False,False,42,0
100784,50 CL Kilcoy,RAW_MATERIAL,False,False,False,False,1,0
100785,Chuckrib Kilcoy,RAW_MATERIAL,False,False,False,False,46,0
100793,Brisket NE A AMH,RAW_MATERIAL,False,False,False,False,1,0
100807,Neckbone Kilcoy,RAW_MATERIAL,False,False,False,False,15,0
100816,Shortrib Bone In Choice Swift US,RAW_MATERIAL,False,False,False,False,5,0
100821,BRZ - Topside Friboi,RAW_MATERIAL,False,False,False,False,2,0
100825,IND - B 18 FQ 95 CL BP Mash,RAW_MATERIAL,False,False,False,False,1,0
100830,IND - B 31 Tenderloin Mash,RAW_MATERIAL,False,False,False,False,1,0
100835,IND - B 46 Striploin Mash,RAW_MATERIAL,False,False,False,False,1,0
100927,Karton Kecil (34x27),PACKAGING,False,False,False,True,77,0
100928,Karton Sedang (38x36),PACKAGING,False,False,False,True,211,0
100929,Karton Besar (53x38),PACKAGING,False,False,False,True,1448,0
100949,"Ayam Karkas 0,8 - 0,9 Kg",RAW_MATERIAL,False,False,False,False,1,0
100973,DMM Kilcoy,RAW_MATERIAL,False,False,False,False,13,0
100980,BRZ - 90 VL Friboi,RAW_MATERIAL,False,False,False,False,1,0
100981,BRZ - Chucktender Friboi,RAW_MATERIAL,False,False,False,False,1,1
100982,BRZ - Flank Friboi,RAW_MATERIAL,False,False,False,False,2,0
100983,BRZ - Knuckle Friboi,RAW_MATERIAL,False,False,False,False,1,0
100985,BRZ - 80 VL Friboi,RAW_MATERIAL,False,False,False,False,1,0
101004,Neckbone John Dee Grain Fed,RAW_MATERIAL,False,False,False,False,1,0
101004,Neckbone Meramist,RAW_MATERIAL,False,False,False,False,34,0
101057,Striploin US Choice IBP,RAW_MATERIAL,False,False,False,False,1,0
101076,IND - CM-01 IAF,RAW_MATERIAL,False,False,False,False,1,0
101089,Ayam Kulit Body,RAW_MATERIAL,False,False,False,False,19,0
101097,IND - B 67 Cuberoll Al-Quresh,RAW_MATERIAL,False,False,False,False,1,0
101098,IND - B 106 FQ 95 CL Roll Al-Quresh,RAW_MATERIAL,False,False,False,False,1,0
101099,IND - B 31 Tenderloin Al-Quresh,RAW_MATERIAL,False,False,False,False,34,1
101135,Karkas Sapi,RAW_MATERIAL,False,False,False,False,3,0
101147,BRZ - Cuberoll Friboi,RAW_MATERIAL,False,False,False,False,2,0
101148,BRZ - Striploin Friboi,RAW_MATERIAL,False,False,False,False,2,0
101183,IND - CM-01 Black Gold,RAW_MATERIAL,False,False,False,False,1,0
101196,"Ayam Karkas 1,0 - 1,1 Kg",RAW_MATERIAL,False,False,False,False,3,0
101213,IND - CM-01 Rustam,RAW_MATERIAL,False,False,False,False,1,0
101265,Rump Cap Picanha S Kilcoy,RAW_MATERIAL,False,False,False,False,8,0
101280,Chuck Crest Nolan Blue,RAW_MATERIAL,False,False,False,False,1,0
101288,BRZ - Shank Friboi,RAW_MATERIAL,False,False,False,False,7,1
101311,Neckbone S John Dee,RAW_MATERIAL,False,False,False,False,32,0
101342,BRZ - Chuck Friboi,RAW_MATERIAL,False,False,False,False,1,0
101344,BRZ - Cuberoll Minerva,RAW_MATERIAL,False,False,False,False,7,0
101397,Shortrib LP Greenham,RAW_MATERIAL,False,False,False,False,11,0
101428,BRZ - 90 VL Friboi SIF 4333,RAW_MATERIAL,False,False,False,False,4,0
101429,BRZ - 90 VL Friboi SIF 862,RAW_MATERIAL,False,False,False,False,3,1
101430,BRZ - 90 VL Friboi SIF 175,RAW_MATERIAL,False,False,False,False,1,1
101437,BRZ - 90 VL Friboi SIF 457,RAW_MATERIAL,False,False,False,False,5,1
101476,Brisketbone A Monbeef,RAW_MATERIAL,False,False,False,False,1,1
101478,Backrib A Monbeef,RAW_MATERIAL,False,False,False,False,27,1
101482,65 CL Monbeef,RAW_MATERIAL,False,False,False,False,1,0
101483,Spare Ribs A Monbeef,RAW_MATERIAL,False,False,False,False,1,0
101541,BRZ - Shin Friboi,RAW_MATERIAL,False,False,False,False,28,3
101550,Fat Brisket Monbeef,RAW_MATERIAL,False,False,False,False,1,0
101552,Shortrib B Monbeef,RAW_MATERIAL,False,False,False,False,1,0
101553,Backrib B Monbeef,RAW_MATERIAL,False,False,False,False,2,0
101557,Backrib Swift US,RAW_MATERIAL,False,False,False,False,13,0
101559,Backrib Alliance,RAW_MATERIAL,False,False,False,False,2,1
101573,Brisketbone John Dee,RAW_MATERIAL,False,False,False,False,1,0
101582,Neckbone John Dee Grain Fed,RAW_MATERIAL,False,False,False,False,30,0
101608,Backrib HGH,RAW_MATERIAL,False,False,False,False,8,16
101610,Lips Anzco ME78,RAW_MATERIAL,False,False,False,False,1,0
101621,Ribcap YP Coles,RAW_MATERIAL,False,False,False,False,1,0
101633,IND - CM-01 Allana,RAW_MATERIAL,False,False,False,False,1,0
101658,Lidah Kibif,RAW_MATERIAL,False,False,False,False,0,1
101702,Rib End Meat Kilcoy,RAW_MATERIAL,False,False,False,False,1,0
101717,Striploin Premium Indocube,RAW_MATERIAL,False,False,False,False,27,0
101721,BRZ - Tenderloin Barra Mansa,RAW_MATERIAL,False,False,False,False,1,0
101727,Brisket NE S AMH,RAW_MATERIAL,False,False,False,False,1,3
101733,50 CL Kilcoy @27.2 KG,RAW_MATERIAL,False,False,False,False,0,1
101783,Mix Bone HGH,BY_PRODUCT,False,False,True,False,0,4
101799,50 CL John Dee S,RAW_MATERIAL,False,False,False,False,1,0
101804,Cuberoll Premium Indocube,RAW_MATERIAL,False,False,False,False,19,0
101813,Back Bone Vertebrae Kilcoy,RAW_MATERIAL,False,False,False,False,0,1
101815,IND - CM-01 Al-Quresh,RAW_MATERIAL,False,False,False,False,1,0
101834,Brisket NE A AMH EST 235,RAW_MATERIAL,False,False,False,False,3,0
101835,Brisket NE A AMH EST 4,RAW_MATERIAL,False,False,False,False,1,1
101839,IND - B 47 Shank BP Kasila Allana,RAW_MATERIAL,False,False,False,False,1,0
101844,BRZ - Chuck GJ Marfrig,RAW_MATERIAL,False,False,False,False,38,0
101846,BRZ - Topside GJ MarFrig,RAW_MATERIAL,False,False,False,False,15,0
101847,BRZ - Blade Shoulder GJ Marfrig,RAW_MATERIAL,False,False,False,False,1,1
101850,Shortloin Angus Jacks Creek,RAW_MATERIAL,False,False,False,False,1,0
101860,BRZ - Eyeround GJ Marfrig,RAW_MATERIAL,False,False,False,False,1,1
101867,BRZ - Flank Friboi,RAW_MATERIAL,False,False,False,False,1,0
101867,BRZ - Forequarter Pieces GJ Marfrig,RAW_MATERIAL,False,False,False,False,112,0
101901,IND - B 152 H B01 Allana,RAW_MATERIAL,False,False,False,False,1,0
101917,IND - B 19 Flank Square Black Gold,RAW_MATERIAL,False,False,False,False,35,0
101942,IND - B 11 FQ Slice Mash @20KG,RAW_MATERIAL,False,False,False,False,0,1
101989,BRZ - Hindquarter Pieces GJ Marfrig,RAW_MATERIAL,False,False,False,False,7,0
102024,Fat HGH,RAW_MATERIAL,False,False,False,False,1,3
102083,RTL Seafood Lovers Ikan Dory Premium BL 1000gr,FINISHED_PRODUCT,True,True,False,False,0,2
102089,Chuck top blade US Prime IBP,RAW_MATERIAL,False,False,False,False,1,0
102105,IND - CM-01 Al-Aali,RAW_MATERIAL,False,False,False,False,1,0
102256,IND - CM-01 Amroon,RAW_MATERIAL,False,False,False,False,1,0
102261,Serbuk Jeroan HGH,RAW_MATERIAL,False,False,False,False,1,0
102317,Backrib S Lockyer Valley,RAW_MATERIAL,False,False,False,False,1,0
102371,BRZ - Striploin Friboi 1953,RAW_MATERIAL,False,False,False,False,1,0
102373,BRZ - Tenderloin Chain Off Friboi 1953,RAW_MATERIAL,False,False,False,False,2,0
102374,BRZ - Flank Steak Friboi 1953,RAW_MATERIAL,False,False,False,False,1,0
102376,BRZ - Oyster Blade Friboi 1953,RAW_MATERIAL,False,False,False,False,3,0
102380,BRZ - Brisket PE Friboi 1953,RAW_MATERIAL,False,False,False,False,3,0
102393,Brisketbone Intercostal in Kilcoy Diamond,RAW_MATERIAL,False,False,False,False,2,0
102394,Neck Meat Meramist,RAW_MATERIAL,False,False,False,False,1,0
102404,Lips Silver Fern,RAW_MATERIAL,False,False,False,False,1,1
102405,Tongue Root Silver Fern,RAW_MATERIAL,False,False,False,False,5,0
102408,IND - B 66 Trimming Amber,RAW_MATERIAL,False,False,False,False,3,0
102414,IND - B 19 Flank Allana,RAW_MATERIAL,False,False,False,False,15,0
102423,IND - B 15 90VL Bulkpack Allana @25 KG,RAW_MATERIAL,False,False,False,False,1,0
102425,IND - B 66 90VL Trimming Roll Al-Hamd,RAW_MATERIAL,False,False,False,False,57,0
102430,IND - B 45 Rump Kamil,RAW_MATERIAL,False,False,False,False,1,0
102438,IND - B 15 Neck Al-Dua,RAW_MATERIAL,False,False,False,False,1,1
102440,IND - B 63 Chuck Al-Dua,RAW_MATERIAL,False,False,False,False,2,0
102443,IND - CM-001 Al-Fadeel,RAW_MATERIAL,False,False,False,False,38,0
102444,IND - B 105 FQ 95 CL Roll Al-Dua,RAW_MATERIAL,False,False,False,False,0,1
102448,45 CL Meramist,RAW_MATERIAL,False,False,False,False,25,0
102467,IND - CM-001 Al-Quresh,RAW_MATERIAL,False,False,False,False,0,1
102471,BRZ - 40 VL Friboi,RAW_MATERIAL,False,False,False,False,9,0
102493,JPN - Shoulder Clod A5 Japan Nishiawa,RAW_MATERIAL,False,False,False,False,1,1
102501,BRZ - 90 VL AFH Minerva,RAW_MATERIAL,False,False,False,False,8,0
102502,IND - B 69 Trimming Amroon,RAW_MATERIAL,False,False,False,False,25,0
102504,IND - B 19 Flank Amroon,RAW_MATERIAL,False,False,False,False,1,1
102528,IND - B 10 Fat IAF,RAW_MATERIAL,False,False,False,False,4,1
102568,Fat Trimming Meramist,RAW_MATERIAL,False,False,False,False,1,0
102577,JPN - Gooseneck Round A5 Nishiawa,RAW_MATERIAL,False,False,False,False,1,0
102593,Marrowbone A GBP,RAW_MATERIAL,False,False,False,False,4,1
102642,"Striploin A ECT 2,7 - 3,6 Kg",RAW_MATERIAL,False,False,False,False,0,1
102645,IND - B 19 Flank Square Amroon,RAW_MATERIAL,False,False,False,False,1,0
102657,BRZ - Brisketbone Point Anglo,RAW_MATERIAL,False,False,False,False,29,0
102658,BRZ - Scapula Anglo,RAW_MATERIAL,False,False,False,False,14,1
102661,BRZ - Lidah Anglo,RAW_MATERIAL,False,False,False,False,20,0
102662,BRZ - Oxtail Anglo,RAW_MATERIAL,False,False,False,False,27,0
102664,BRZ - Kaki FQ Anglo,RAW_MATERIAL,False,False,False,False,23,0
102665,BRZ - Paru Anglo,RAW_MATERIAL,False,False,False,False,15,1
102670,BRZ - Inside Skirt Anglo,RAW_MATERIAL,False,False,False,False,1,1
102695,BRZ - Hanging Tender Thick Skirt Barra Mansa,RAW_MATERIAL,False,False,False,False,1,0
102705,IND - B 108 TO BP Al-Quresh,RAW_MATERIAL,False,False,False,False,36,0
102708,BRZ - Blade Shoulder Frigol,RAW_MATERIAL,False,False,False,False,2,0
102709,BRZ - 90 VL HQ Friboi SIF 457,RAW_MATERIAL,False,False,False,False,1,0
102713,BRZ - Lidah Sadia,RAW_MATERIAL,False,False,False,False,1,0
102714,BRZ - Oxtail Sadia,RAW_MATERIAL,False,False,False,False,7,1
102717,French Fries Hungritos Shoestring 1 kg,OTHER,False,False,False,False,10,0
102719,IND - B 152 HM Amroon,RAW_MATERIAL,False,False,False,False,4,0
102720,BRZ - Heel Muscle Friboi,RAW_MATERIAL,False,False,False,False,1,1
102722,BRZ - Shortrib Friboi,RAW_MATERIAL,False,False,False,False,39,0
102724,BRZ - Industrial Trimming C Anglo SIF 504,RAW_MATERIAL,False,False,False,False,12,1
102725,BRZ - Diaphragm Trimm Anglo,RAW_MATERIAL,False,False,False,False,5,0
102726,BRZ - Mix Tendon Anglo,RAW_MATERIAL,False,False,False,False,1,0
102733,BRZ - Fat KPH Sadia,RAW_MATERIAL,False,False,False,False,5,0
102759,BRZ - Blade Shoulder Friboi,RAW_MATERIAL,False,False,False,False,2,1
102761,BRZ - Mix Ligamentum Sinews Minerva,RAW_MATERIAL,False,False,False,False,2,0
102778,70 CL HGH,BY_PRODUCT,False,False,True,False,52,125
102782,BRZ - Tenderloin Chain On Friboi,RAW_MATERIAL,False,False,False,False,1,0
102784,BRZ - Oyster Blade Friboi,RAW_MATERIAL,False,False,False,False,12,0
102787,BRZ - Industrial Trimming F Anglo,RAW_MATERIAL,False,False,False,False,18,4
102789,RTL Daging Giling Value 500 gr,FINISHED_PRODUCT,True,True,False,False,0,3
102796,Topside Wagyu MB 8-9 Jacks Creek,RAW_MATERIAL,False,False,False,False,4,0
102797,Topside Wagyu MB 6-7 Jacks Creek,RAW_MATERIAL,False,False,False,False,1,0
102802,BRZ - Inside Skirt Frigon,RAW_MATERIAL,False,False,False,False,1,0
102842,IND - B 11 FQ Slice IAF @20KG,RAW_MATERIAL,False,False,False,False,1,0
102843,Brisketbone Silverfarms ME 15,RAW_MATERIAL,False,False,False,False,1,0
102851,BRZ - Brisketbone Minerva,RAW_MATERIAL,False,False,False,False,1,1
102862,Neckbone Silverfarms ME 9,RAW_MATERIAL,False,False,False,False,4,0
102865,IND - B 152 HM AOV,RAW_MATERIAL,False,False,False,False,3,0
102867,BRZ - Chuck Hilton Friboi,RAW_MATERIAL,False,False,False,False,1,0
102873,BRZ - Tenderloin Chain Off Friboi 4/5lb,RAW_MATERIAL,False,False,False,False,18,0
102874,BRZ - Tenderloin Chain Off Friboi 5lb UP,RAW_MATERIAL,False,False,False,False,32,0
102881,BRZ - Hanging Tender Thick Skirt Frigon,RAW_MATERIAL,False,False,False,False,1,0
102889,JPN - Rib Cap Wagyu A5 Japan Nishiawa,RAW_MATERIAL,False,False,False,False,1,0
102893,IND - B 152 HM Al-Hamd,RAW_MATERIAL,False,False,False,False,75,0
102895,BRZ - Industrial Trimming C Anglo SIF 175,RAW_MATERIAL,False,False,False,False,2,0
102896,BRZ - Industrial Trimming C Anglo SIF 3000,RAW_MATERIAL,False,False,False,False,5,1
102897,BRZ - Industrial Trimming C Anglo SIF 4333,RAW_MATERIAL,False,False,False,False,28,1
102898,BRZ - Industrial Trimming C Anglo SIF 4400,RAW_MATERIAL,False,False,False,False,6,1
102899,BRZ - Industrial Trimming C Anglo SIF 4507,RAW_MATERIAL,False,False,False,False,1,0
102900,BRZ - Industrial Trimming C Anglo SIF 457,RAW_MATERIAL,False,False,False,False,0,1
102907,Brisketbone A GBP,RAW_MATERIAL,False,False,False,False,8,0
102913,IND - B 152 HM Al-Dua,RAW_MATERIAL,False,False,False,False,90,1
102918,BRZ - Flank Friboi SIF 175,RAW_MATERIAL,False,False,False,False,33,2
102919,BRZ - Flank Friboi SIF 4333,RAW_MATERIAL,False,False,False,False,2,0
102920,BRZ - Flank Friboi SIF 457,RAW_MATERIAL,False,False,False,False,6,1
102921,BRZ - Flank Friboi SIF 862,RAW_MATERIAL,False,False,False,False,42,0
102922,IND - CM-001 Al-Nasir,RAW_MATERIAL,False,False,False,False,1,0
102923,IND - B 10 AOV,RAW_MATERIAL,False,False,False,False,39,0
102925,IND - CM-001 Kamil,RAW_MATERIAL,False,False,False,False,2,0
102929,IND - B 60 Shank BP Marhaba @25Kg,RAW_MATERIAL,False,False,False,False,1,0
102930,BRZ - Flank Friboi SIF 4507,RAW_MATERIAL,False,False,False,False,33,2
102939,BRZ - 40 VL Minerva,RAW_MATERIAL,False,False,False,False,2,1
102943,BRZ - Industrial Trimming C Anglo SIF 2979,RAW_MATERIAL,False,False,False,False,2,0
102949,BRZ - Fat KPH Anglo,RAW_MATERIAL,False,False,False,False,19,0
102952,BRZ - Industrial Trimming C Anglo SIF 49,RAW_MATERIAL,False,False,False,False,2,0
102953,Hati Grain Fed Meramist,RAW_MATERIAL,False,False,False,False,22,0
102954,Tongue Root Silver Fern ME 15,RAW_MATERIAL,False,False,False,False,0,1
102960,BRZ - Industrial Trimming F 85 VL Anglo SIF 385,RAW_MATERIAL,False,False,False,False,2,0
102962,BRZ - Industrial Trimming C Anglo SIF 385,RAW_MATERIAL,False,False,False,False,1,0
102968,BRZ - Industrial Meat 85 VL Anglo,RAW_MATERIAL,False,False,False,False,7,1
102975,BRZ - Outside Flat Frigol,RAW_MATERIAL,False,False,False,False,13,0
102976,BRZ - Striploin Frigol,RAW_MATERIAL,False,False,False,False,27,1
102980,JPN - Shoulder Clod Wagyu A5 Japan Miyazaki SE Meat,RAW_MATERIAL,False,False,False,False,3,0
102983,BRZ - Industrial Trimming C 85 VL Anglo SIF 4333,RAW_MATERIAL,False,False,False,False,0,1
102987,BRZ - Industrial Trimming C 85 VL Anglo SIF 862,RAW_MATERIAL,False,False,False,False,1,0
102990,BRZ - Industrial Trimming C 85 VL Anglo SIF 49,RAW_MATERIAL,False,False,False,False,1,0
102994,BRZ - Blade Naturafrig,RAW_MATERIAL,False,False,False,False,1,0
102997,IND - B 66 Trimming Amroon,RAW_MATERIAL,False,False,False,False,9,0
103002,BRZ - Paru Frigol,RAW_MATERIAL,False,False,False,False,16,0
103014,IND - B 42 Knuckle Pure Foodstuff,RAW_MATERIAL,False,False,False,False,0,2
103016,BRZ - Blade Frigol,RAW_MATERIAL,False,False,False,False,0,2
103017,IND - B 31 Tenderloin Blackgems,RAW_MATERIAL,False,False,False,False,1,0
103025,IND - B 65 Blade Pure Foodstuff,RAW_MATERIAL,False,False,False,False,1,0
103026,BRZ - Brisketbone E Anglo,RAW_MATERIAL,False,False,False,False,20,0
103028,BRZ - Industrial Trimming F 85 VL Anglo SIF 175,RAW_MATERIAL,False,False,False,False,3,0
103030,BRZ - Industrial Trimming F 85 VL Anglo SIF 4507,RAW_MATERIAL,False,False,False,False,2,1
103031,BRZ - Industrial Trimming F 85 VL Anglo SIF 504,RAW_MATERIAL,False,False,False,False,2,1
103033,BRZ - Jantung Trimming Anglo,RAW_MATERIAL,False,False,False,False,0,1
103036,IND - B 45 Rump Pure Foodstuff,RAW_MATERIAL,False,False,False,False,1,1
103055,BRZ - Shortplate Friboi,RAW_MATERIAL,False,False,False,False,49,0
103057,"BRZ - Cuberoll Barra Mansa 2,0 Kg Up",RAW_MATERIAL,False,False,False,False,29,0
103058,"BRZ - Striploin Barra Mansa 3,5 - 5 Kg",RAW_MATERIAL,False,False,False,False,14,0
103059,BRZ - Striploin Barra Mansa 5 - 6 Kg,RAW_MATERIAL,False,False,False,False,1,0
103072,BRZ - Industrial Trimming F 85 VL Anglo SIF 457,RAW_MATERIAL,False,False,False,False,1,0
103077,BRZ - Industrial Trimming C 85 VL Anglo SIF 615,RAW_MATERIAL,False,False,False,False,1,0
103081,BRZ - Sinews Astra,RAW_MATERIAL,False,False,False,False,0,1
103082,"BRZ - Striploin Astra 3,5 - 5 Kg",RAW_MATERIAL,False,False,False,False,6,0
103085,IND - B 123 Rib Meat Al-Hilal,RAW_MATERIAL,False,False,False,False,91,0
103086,BRZ - Forequarter Supremo,RAW_MATERIAL,False,False,False,False,0,1
103106,BRZ - Mix Tendon Frigomarca,RAW_MATERIAL,False,False,False,False,1,0
103119,Tongue Root Silver Fern ME 84,RAW_MATERIAL,False,False,False,False,0,4
103120,Tongue Root Silver Fern ME 9,RAW_MATERIAL,False,False,False,False,0,2
103121,Tongue Root Silver Fern ME 125,RAW_MATERIAL,False,False,False,False,2,2
103134,BRZ - Industrial Cheekmeat 90 VL Naturafrig,RAW_MATERIAL,False,False,False,False,1,0
103136,BRZ - Industrial Meat Necktrim 90 VL Naturafrig,RAW_MATERIAL,False,False,False,False,0,1
103141,"BRZ - Striploin Friboi 3,5 Kg Up 1953",RAW_MATERIAL,False,False,False,False,3,1
103143,BRZ - Industrial Headmeat 90 VL Frigomarca,RAW_MATERIAL,False,False,False,False,0,1
103144,BRZ - Industrial Cheekmeat 90 VL Frigomarca,RAW_MATERIAL,False,False,False,False,1,0
103150,BRZ - Membrane Frigon,RAW_MATERIAL,False,False,False,False,1,0
103153,BRZ - Brisket PE Frigon,RAW_MATERIAL,False,False,False,False,9,0
103168,Brisketbone Kilcoy Diamond EST 1912,RAW_MATERIAL,False,False,False,False,16,0
103175,BRZ - Tendon Frigomarca,RAW_MATERIAL,False,False,False,False,0,1
103179,BRZ - Jantung Trimming Frigon,RAW_MATERIAL,False,False,False,False,0,1
103186,BRZ - Coinbone Minerva,RAW_MATERIAL,False,False,False,False,0,1
103187,Shortrib Alliance,RAW_MATERIAL,False,False,False,False,0,1
